url,tipo,objetivo,preco,area_util,area_total,Quartos,Banheiros,Suites,Garagens,Cidade,Bairro,Piscina,Copa,Cozinha,Sala de estar,Sala de jantar,Sala de visitas
https://www.imobiliariatradicao.com.br/Imovel/10885,Apartamento,Venda,250000.0,59.0,,2.0,1.0,,1.0,Araras,Abolição,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10868,Casa,Venda,240000.0,58.5,270.0,1.0,1.0,,2.0,Araras,Belvedere,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10880,Apartamento,Venda,375000.0,55.0,,2.0,1.0,1.0,1.0,Araras,Cândida,Não,Não,Não,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10873,Casa,Venda,600000.0,239.5,414.0,,,,,Araras,Belvedere,Não,Não,Não,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10863,Apartamento,Venda,160000.0,55.0,,2.0,1.0,,1.0,Araras,Jardim das Flores,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10859,Casa,Venda,310000.0,200.0,360.0,2.0,1.0,,2.0,Araras,Cândida,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10860,Casa,Venda,780000.0,296.0,300.0,3.0,2.0,1.0,3.0,Araras,Cândida,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10862,Casa,Venda,355000.0,131.2,160.0,3.0,1.0,1.0,1.0,Araras,Ouro Verde,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10865,Apartamento,Venda,260000.0,49.0,,2.0,1.0,1.0,1.0,Araras,Celina,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10852,Casa,Venda,800000.0,265.0,360.0,3.0,2.0,1.0,4.0,Araras,Cândida,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10844,Casa,Venda,350000.0,297.39,300.0,3.0,1.0,,2.0,Araras,Sobradinho,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10850,Casa,Venda,600000.0,120.0,350.0,,,,,Araras,Centro,Não,Não,Não,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10853,Apartamento,Venda,170000.0,42.0,,2.0,1.0,,1.0,Araras,Narciso Gomes,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10849,Casa,Venda,250000.0,99.09,150.0,2.0,1.0,,1.0,Araras,Bom Jesus,Não,Sim,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10847,Casa,Venda,500000.0,140.54,313.0,3.0,1.0,,2.0,Araras,Centro,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10855,Casa,Venda,350000.0,234.82,400.0,3.0,1.0,,2.0,Araras,Jardim dos Ipês,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10848,Casa,Venda,300000.0,168.5,200.0,3.0,1.0,,2.0,Araras,José Ometto II,Não,Sim,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10828,Casa,Venda,1280000.0,379.38,270.0,5.0,2.0,2.0,4.0,Araras,Nova Suiça,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10824,Casa,Venda,790000.0,250.0,412.5,2.0,1.0,1.0,3.0,Araras,Parque das Árvores,Sim,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10842,Casa,Venda,450000.0,169.0,337.5,3.0,2.0,1.0,2.0,Araras,Centro,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10836,Casa,Venda,550000.0,99.4,405.9,3.0,1.0,,1.0,Araras,Centro,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10823,Apartamento,Venda,240000.0,50.0,,2.0,1.0,,1.0,Araras,Maria Rosa (Arboreto),Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10838,Casa,Venda,250000.0,168.0,397.0,3.0,1.0,,2.0,Araras,Belvedere,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10832,Apartamento,Venda,160000.0,42.0,,2.0,1.0,,1.0,Araras,Jd Celina,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10833,Casa,Venda,285000.0,88.46,131.16,2.0,2.0,,1.0,Araras,Buzolin,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10817,Apartamento,Venda,200000.0,79.99,,2.0,1.0,,1.0,Araras,Belvedere,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10809,Casa,Venda,195000.0,45.0,160.0,2.0,1.0,,2.0,Araras,Jardim das Araucarias,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10820,Casa,Venda,650000.0,102.0,250.0,3.0,1.0,1.0,4.0,Araras,Parque das Árvores,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10819,Apartamento,Venda,180000.0,42.0,,2.0,1.0,,1.0,Araras,Abolição,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10804,Apartamento,Venda,230000.0,50.0,,2.0,1.0,,1.0,Araras,São João,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10822,Casa,Venda,310000.0,176.1,250.0,3.0,1.0,,1.0,Araras,Copacabana,Não,Sim,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10816,Casa,Venda,680000.0,230.0,308.0,4.0,1.0,2.0,2.0,Araras,Encosta do Sol,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10811,Casa,Venda,470000.0,170.0,250.0,3.0,2.0,1.0,2.0,Araras,Parque das Árvores,Sim,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10797,Casa,Venda,890000.0,295.9,250.0,3.0,4.0,1.0,2.0,Araras,Alvorada,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10793,Casa,Venda,400000.0,140.0,220.0,3.0,1.0,1.0,2.0,Araras,Vila Rica,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10777,Casa,Venda,250000.0,61.99,125.0,2.0,1.0,,1.0,Araras,Dom Bosco,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10795,Apartamento,Venda,150000.0,42.0,,2.0,1.0,,1.0,Araras,Narciso Gomes,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10782,Casa,Venda,795000.0,148.67,272.54,3.0,1.0,1.0,2.0,Araras,Vila Inglesa,Sim,Sim,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10800,Apartamento,Venda,380000.0,55.0,,2.0,1.0,1.0,1.0,Araras,Candida,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10799,Casa,Venda,300000.0,165.1,200.0,3.0,1.0,,1.0,Araras,Versalles,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10801,Apartamento,Venda,145000.0,55.0,,2.0,1.0,,1.0,Araras,08 de Abril,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10756,Apartamento,Venda,150000.0,65.0,,,,,,Araras,08 de Abril,Não,Não,Não,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10773,Casa,Venda,360000.0,308.28,350.0,,,,,Araras,Candida,Não,Não,Não,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10765,Casa,Venda,745000.0,241.0,406.9,3.0,1.0,,4.0,Araras,Abolição,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10761,Casa,Venda,700000.0,168.84,250.0,2.0,1.0,1.0,2.0,Araras,Abolição,Sim,Sim,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10762,Apartamento,Venda,160000.0,42.0,,2.0,1.0,,1.0,Araras,Narciso Gomes (Angra dos Reis),Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10754,Apartamento,Venda,210000.0,60.0,,2.0,1.0,,1.0,Araras,Jd. 08 de Abril,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10769,Casa,Venda,290000.0,142.08,300.0,3.0,1.0,,1.0,Araras,Belvedere,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10772,Apartamento,Venda,240000.0,47.9,,2.0,1.0,,1.0,Araras,Jardim Celina,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10735,Apartamento,Venda,240000.0,,63.0,2.0,1.0,,1.0,Araras,08 de Abril,Não,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10734,Apartamento,Venda,270000.0,,65.0,2.0,1.0,,1.0,Araras,Abolição,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10753,Casa,Venda,670000.0,188.56,250.0,3.0,1.0,1.0,2.0,Araras,Abolição,Sim,Não,Sim,Não,Sim,Sim
https://www.imobiliariatradicao.com.br/Imovel/10731,Casa,Venda,300000.0,104.0,160.0,1.0,3.0,,2.0,Araras,Tiradentes,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10730,Casa,Venda,380000.0,157.2,414.54,3.0,1.0,,1.0,Araras,Centro,Não,Sim,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/10724,Casa,Venda,270000.0,150.0,250.0,2.0,1.0,,2.0,Araras,Copacabana,Não,Sim,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/11035,Apartamento,locacao,1800.0,,,2.0,1.0,1.0,1.0,Araras,Jacarandás,Sim,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11036,Apartamento,locacao,900.0,,,2.0,1.0,,1.0,Araras,Alto das Araras(ed Barcelona),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11050,Apartamento,locacao,1100.0,,,2.0,1.0,,1.0,Araras,Jd Tarumã (Encosta do Sol),Não,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11046,Casa,locacao,800.0,,,1.0,1.0,,,Araras,Cândida,Não,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11038,Apartamento,locacao,4000.0,,,2.0,2.0,1.0,2.0,Araras,Plaza Alta,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/11048,Apartamento,locacao,1500.0,,,2.0,1.0,1.0,1.0,Araras,Jd. Boa Esperança (Ed. Alto da Colina),Não,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11034,Apartamento,locacao,750.0,,,2.0,1.0,,1.0,Araras,Centro (Ernesto),Não,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11037,Casa,locacao,2600.0,,,,,,,Araras,Vila Bressan,Não,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11021,Apartamento,locacao,1200.0,,,,,,,Araras,Celina (Iris do Campo),Não,Não,Não,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11022,Apartamento,locacao,1200.0,,,2.0,1.0,1.0,1.0,Araras,Sítios de Recreio Independência (Begônias do Campo),Sim,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11023,Apartamento,locacao,600.0,,,2.0,1.0,,1.0,Araras,Abolição (Arvoredo),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11027,Apartamento,locacao,750.0,,,2.0,1.0,,1.0,Araras,8 de Abril(ed Enzo),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11033,Apartamento,locacao,1200.0,,,2.0,1.0,1.0,1.0,Araras,Sítios de Recreio Independência (Begônias do Campo),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11032,Apartamento,locacao,1200.0,,,2.0,1.0,,1.0,Araras,Sítios de Recreio Independência (Begônias do Campo),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11024,Apartamento,locacao,950.0,55.0,,2.0,1.0,,1.0,Araras,Buzolin (Parque das Flores),Não,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11011,Casa,locacao,1400.0,,,2.0,1.0,,1.0,Araras,Fátima,Não,Não,Sim,Não,Sim,Não
https://www.imobiliariatradicao.com.br/Imovel/11000,Casa,locacao,3000.0,,,2.0,2.0,1.0,2.0,Araras,Alto das Araras(villágio Italia),Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/11016,Apartamento,locacao,1600.0,,,,,,,Araras,Terras de Carolina (Campanet),Não,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11002,Apartamento,locacao,1800.0,82.0,,2.0,1.0,1.0,2.0,Araras,Cândida (Ouro Branco),Não,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11014,Casa,locacao,5000.0,,,4.0,,1.0,,Araras,Chácara Daltro,Não,Sim,Sim,Sim,Sim,Não
https://www.imobiliariatradicao.com.br/Imovel/10997,Apartamento,locacao,1150.0,48.0,,2.0,1.0,,1.0,Araras,Celina (Iris do Campo),Sim,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/11009,Casa,locacao,3500.0,,,2.0,1.0,,2.0,Araras,Campos Verdes,Não,Não,Sim,Não,Não,Sim
https://www.imobiliariatradicao.com.br/Imovel/11004,Apartamento,locacao,1400.0,,,2.0,1.0,1.0,1.0,Araras,Centro (Terezinha Ulson),Não,Não,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10957,Apartamento,locacao,2800.0,,,,,,,Araras,Candida (Ed Rubi),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10977,Casa,locacao,2300.0,,,3.0,2.0,,,Araras,Haise Maria,Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10976,Casa,locacao,2000.0,,,3.0,1.0,,,Araras,Centro,Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10962,Casa,locacao,2950.0,,,3.0,2.0,1.0,2.0,Araras,Celina (Sonho Meu),Não,Sim,Sim,Sim,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10978,Apartamento,locacao,2600.0,,,2.0,1.0,,1.0,Araras,Belvedere (São Pedro),Não,Não,Sim,Não,Não,Não
https://www.imobiliariatradicao.com.br/Imovel/10994,Casa,locacao,1800.0,,,2.0,1.0,,3.0,Araras,Jardim Apolo,Não,Sim,Sim,Sim,Não,Não
